Id,Age,MF,LoE,YoW,YoCW,Income,Housing,Car,Res
0,60,F,Bach,4,4,4759451,R,False,Accept
1,60,F,Bach,4,4,4759451,R,False,Accept
2,76,M,Bach,8,8,8237019,R,True,Accept
3,28,M,Ad. Dip,4,4,9114804,R,False,Accept
4,44,M,Ad. Dip,16,5,998868,R,False,Reject
5,62,M,Bach,12,7,912294,R,True,Accept
6,63,M,Bach,3,3,2411292,R,False,Accept
7,65,M,Dip,13,4,5583648,R,True,Reject
8,41,M,Mst,6,3,7591621,O,False,Reject
9,42,F,Mst,18,11,5462646,R,False,Accept
10,62,M,Ad. Dip,15,8,1394389,R,True,Reject
11,77,M,Dip,16,7,2940425,R,True,Reject
12,50,M,P. Doct,9,9,5094060,R,True,Accept
13,45,M,Mst,11,8,4658830,R,True,Accept
14,50,M,Mst,1,1,4209565,R,False,Accept
15,57,M,Doct,15,14,2625566,R,True,Accept
16,70,M,Bach,12,8,3983449,R,False,Accept
17,70,M,Bach,12,8,3983449,R,False,Accept
18,22,M,Bach,0,0,2297340,R,False,Accept
19,59,F,Mst,1,1,5712282,R,False,Accept
20,26,M,Mst,12,9,1706479,R,False,Accept
21,47,M,Mst,3,3,9173731,R,False,Accept
22,32,M,Dip,12,9,555482,R,False,Reject
23,25,M,Mst,12,12,8340826,R,True,Accept
24,73,M,Doct,16,11,7872203,R,False,Accept
25,22,M,Mst,3,3,9311367,R,False,Accept
26,65,M,Bach,6,6,7767461,O,False,Accept
27,70,M,Bach,6,6,6028273,R,True,Accept
28,40,F,Ad. Dip,10,9,7790773,R,NaN,Accept
29,53,M,Mst,8,8,2201976,R,True,Reject
30,32,M,Ad. Dip,12,5,5734542,R,False,Accept
31,41,M,Bach,11,7,6305461,R,True,Accept
32,55,M,Dip,16,8,9472148,R,False,Accept
33,68,M,Mst,9,8,9287205,N,False,Accept
34,56,M,Bach,5,4,7331180,R,False,Accept
35,62,M,Mst,17,14,5086925,R,False,Accept
36,32,F,Ad. Dip,10,10,4552514,R,True,Accept
37,46,M,Bach,8,6,7321831,R,False,Accept
38,41,M,Bach,8,8,9961539,O,True,Accept
39,74,M,Ad. Dip,0,0,6809745,R,True,Accept
40,24,M,Bach,18,5,7936020,R,False,Accept
41,51,M,Bach,17,8,5470140,N,False,Accept
42,37,M,Bach,6,6,9312608,R,True,Accept
43,23,M,Bach,0,0,383282,R,True,Accept
44,60,M,Bach,19,5,2582382,R,False,Accept
45,45,M,Doct,13,5,4807368,O,True,Accept
46,49,M,Bach,0,0,4387681,R,False,Accept
47,57,M,Bach,12,8,9530702,R,False,Accept
48,79,M,Dip,7,7,2810048,R,False,Reject
49,66,F,Bach,3,3,8199311,R,True,Accept
50,36,M,Ad. Dip,11,4,890951,O,True,Reject
51,55,M,Bach,18,10,3861206,R,False,Accept
52,53,M,Ad. Dip,6,6,9352887,R,True,Accept
53,78,M,Ad. Dip,18,5,3654298,R,True,Accept
54,68,M,Dip,1,1,1810800,R,False,Reject
55,60,M,Doct,20,7,6775535,R,False,Accept
56,50,M,Mst,5,5,1760376,R,False,Accept
57,53,M,Bach,12,11,6565653,O,False,Reject
58,21,M,Bach,11,6,7280359,R,False,Reject
59,23,M,Bach,0,0,383282,R,True,Accept
60,78,M,Doct,6,6,4957836,R,False,Accept
61,41,M,Bach,9,7,1930730,R,False,Accept
62,48,M,Dip,18,10,5356329,N,False,Accept
63,67,M,Mst,20,8,1960176,R,True,Accept
64,68,M,Mst,9,9,651402,R,True,Accept
65,43,F,Bach,4,4,7059372,O,False,Reject
66,31,M,Bach,9,9,9723891,R,True,Accept
67,68,M,Mst,9,9,651402,R,True,Accept
68,64,F,Bach,7,7,2212744,R,False,Accept
69,26,M,P. Doct,11,11,2408696,R,False,Accept
70,72,F,P. Doct,18,4,220528,R,False,Accept
71,70,M,NaN,1,1,4001896,R,False,Accept
72,78,M,Bach,8,8,3062422,R,False,Accept
73,68,M,Doct,4,4,7087601,R,False,Accept
74,60,M,Mst,15,14,6669896,R,True,Accept
75,59,M,Mst,10,6,4925213,N,True,Accept
76,45,M,Bach,10,5,62100,R,True,Accept
77,56,M,Doct,15,8,9299383,R,False,Reject
78,24,M,Ad. Dip,18,4,6258651,R,False,Accept
79,77,M,Doct,19,6,510754,R,False,Accept
80,62,M,Mst,19,13,1198501,R,False,Accept
81,75,F,Doct,3,3,9634930,R,False,Accept
82,23,M,Bach,3,3,7217848,R,False,Accept
83,47,M,Ad. Dip,7,4,5110841,R,False,Accept
84,70,M,Mst,1,1,4400395,R,False,Accept
85,47,M,Bach,6,6,3483388,R,False,Accept
86,34,M,Bach,12,9,6634248,R,False,Accept
87,61,M,Mst,9,9,527900,R,True,Reject
88,62,M,Bach,8,8,5688746,R,True,Accept
89,62,M,P. Doct,17,5,8536742,R,False,Accept
90,28,M,Doct,19,13,7282131,R,False,Accept
91,27,M,Doct,2,2,7275614,R,False,Accept
92,23,M,Bach,3,3,7217848,R,False,Accept
93,75,M,Dip,6,6,1061632,R,True,Reject
94,33,M,Bach,6,6,3169625,R,False,Accept
95,77,M,Mst,18,14,8830162,R,False,Accept
96,32,M,Bach,15,3,2541624,R,False,Reject
97,22,M,Ad. Dip,2,2,8437491,R,False,Reject
98,62,M,Mst,0,0,7990740,R,False,Accept
